name,gender
Dominique+Le+Mèner,Male
Ángel+L.+Malavé+Zayas,Unknown
Sher+Akbar+Khan,Male
Emiline+Rakotobe,Male
Nandyala+Varada+Rajulu+Reddy,Male
Arbën+Xhaferi,Male
Koloman+Wallisch,Male
Velusami+Radhakrishnan,Male
Yoro+Diakité,Male
J.+Bennett+Johnston,Male
Watanabe+Kunitake,Male
Platon+Kostiuk,Male
Shi+Guangsheng,Male
Lê+Hồng+Anh,Male
Lu+Han+(general),Female
Hoàng+Văn+Thái,Male
Feng+Dao,Female
Sam+Adams+(Oregon+politician),Male
S.+Madhusudhana+Chary,Male
Wang+Ke+(Tang+dynasty),Unknown
Pierre-François+Flaugergues,Unknown
M.+S.+Sellasamy,Male
Tan+Goan-kong,Unknown
M.+Mahroof,Male
Kong+Xun,Unknown
Mysone+Thongsaysy,Male
Somoak+Kingsada,Male
Premalal+Jayasekara,Male
Sammy+Mwaita,Male
"Herbrand+Sackville,+9th+Earl+De+La+Warr",Male
Chunibhai+K+Gohel,Male
oo,Unknown
Liu+Jiao+(prince),Male
Frigyes+Nagy,Male
León+Aillaud,Male
Jovenel+Moïse,Male
Pakauri+Lal,Male
Liu+Youqiu,Female
C.+Chandrakanthan,Male
Noé+Hernández+González,Male
Michele+Vietti,Male
"Sir+Donough+O'Brien,+1st+Baronet",Unknown
Abimbola+Fashola,Female
Yang+Huanning,Male
Július+Binder,Male
Karnendu+Bhattacharjee,Male
N.+Kumaraguruparan,Male
Myrteza+Ali+Struga,Male
Nguyễn+Minh+Thuyết,Male
Hsan+Sint,Male
Ariel+Gómez+León,Male
Davíð+Oddsson,Male
S.+Manickaraj,Male
Takahide+Kimura,Male
Susil+Premajayanth,Male
Sun+Zhigang,Male
Péter+Oszkó,Male
Oļegs+Deņisovs,Male
Greville+Janner,Male
Terry+Tornek,Male
Chen+Mingyi+(Taiwan),Male
Tola+Kasali,Male
Hernán+Solano,Male
Shōzō+Murata,Male
Dumitru+Brașoveanu,Male
"Sidney+Webb,+1st+Baron+Passfield",Male
Jan+Bednarek+(politician),Male
Bureau+de+La+Rivière,Unknown
Ottoi+Călin,Male
Vjačeslavs+Dombrovskis,Male
Nasry+Asfura,Male
Yu+Xuezhong,Male
T.+Nagaratnam,Male
G.+Rama+Iyer,Male
"Swraj+Paul,+Baron+Paul",Male
Pallo+Jordan,Male
Yelü+Xiezhen,Unknown
S.+D.+Bandaranayake,Male
Rhisiart+Tal-e-bot,Male
Hsu+Yung-ming,Male
Najibuddin+Awaisi,Male
Hezakiah+Oshutapik,Female
Críona+Ní+Dhálaigh,Female
Karol+Šmidke,Male
Cheng+Li+Hui,Female
Miklós+Hagyó,Male
Patrice+Verchère,Male
Zmicier+Zhylunovich,Male
Alí+Rodríguez+Araque,Unknown
Zigfrīds+Anna+Meierovics,Male
Bandeppa+Kashempur,Male
Lormong+Lo,Male
Bemamy+Beriziky,Male
Chen+Gui+(politician),Male
Rémy+Pagani,Male
Wangcha+Rajkumar,Male
Kansari+Halder,Male
Zandaakhüügiin+Enkhbold,Male
Myat+Ko,Male
Andrea+Belluzzi,Male
Jai+Bhagwan+Aggarwal,Male
António+Borges+Coutinho,Male
Zuhra+Wadood+Fatmi,Male
"Étienne+François,+duc+de+Choiseul",Male
Vishwambhar+Dayalu+Tripathi,Male
Pandyanda+Belliappa,Male
Ndue+Marashi,Male
Bent+Høie,Male
Ángel+Aguirre+Rivero,Male
Česlovas+Stankevičius,Male
Vjekoslav+Spinčić,Male
Matthías+Bjarnason,Male
Radha+Raman+Shastri,Male
Alesana+Seluka,Unknown
Nabam+Rebia,Male
Nešo+Šćepović,Male
Berenguer+de+Cruïlles,Unknown
Harwinder+Kalyan,Male
Ramashankar+Rajbhar,Male
António+Costa,Male
Désiré+Ferry,Male
Léopold+Angrand,Male
Feng+Yu,Female
Elemér+Gergátz,Male
Eiichi+Nakao,Male
Maldwyn+Thomas,Unknown
Ren+DeGaris,Unknown
Abba+Habib,Unknown
Trần+Đức+Lương,Male
Demetriu+Radu,Male
Chikahiko+Koizumi,Male
Dénes+Pázmándy+(1816–1856),Male
A.+L.+M.+Athaullah,Male
Abdeladim+El+Guerrouj,Male
Léhady+Soglo,Male
Andargachew+Tsige,Female
Ange-Félix+Patassé,Male
Cheng+Rui,Male
Lalubhai+Patel,Male
Kulwant+Singh+(politician),Male
Imoru+Salifu,Unknown
M.+Thilakarajah,Male
Caoimhghín+Ó+Caoláin,Male
Wei+Anshi,Unknown
A.+M.+Paraman,Male
Taïeb+Baccouche,Female
Amanchi+Krishna+Mohan,Male
Jean-Pierre+Lékoba,Male
Ángel+Maza,Male
Justice+Samuel+Adjei,Male
Zhu+Houze,Male
Shibli+Faraz,Male
Kekūanāoʻa,Male
Cui+Xie,Unknown
Brūno+Kalniņš,Male
Akmeemana+Dayarathana+Thero,Male
Theddy+Ladislaus,Unknown
Rómulo+Cárdenas,Male
Botsa+Jhansi+Lakshmi,Female
Wang+Jian+(poet),Unknown
Hjörleifur+Guttormsson,Male
Hirohiko+Nakamura,Male
Óscar+Diego+Gestido,Male
Nicolás+Díaz,Male
C.+N.+Jayadevan,Male
Wang+Gui,Unknown
Ásmundur+Einar+Daðason,Male
Li+Zhengji,Male
Ichirō+Matsui,Male
Hakija+Turajlić,Male
Valentín+Paz-Andrade,Male
Sone+Lal+Patel,Male
Phaeng+Lylavong,Unknown
Ganeshrao+Nagorao+Dudhgaonkar,Male
Hugô+St-Onge,Male
Zhang+Ji+(Republic+of+China),Male
Terenc+Toçi,Male
Kamangadazi+Chambalo,Male
Vladeta+Janković,Male
Sigbjørn+Molvik,Male
Jan+Kemp+(general),Male
M.+E.+H.+Mohamed+Ali,Male
Hardin+Burnley,Unknown
Kikeo+Khaykhamphithoun,Male
