name_q,name_u,views
Abdullah_ibn_Husayn_al-Ahmar,Abdullah_ibn_Husayn_al-Ahmar,6860.0
Abdullah_of_Saudi_Arabia,Abdullah_of_Saudi_Arabia,426313.0
Abdullahi_Issa,Abdullahi_Issa,3514.0
Abdullahi_Yusuf_Ahmed,Abdullahi_Yusuf_Ahmed,71782.0
Abdulrahman_Mohamed_Babu,Abdulrahman_Mohamed_Babu,1017.0
Abdur_Rab_Nishtar,Abdur_Rab_Nishtar,4308.0
Abdur_Rashid_Tarkabagish,Abdur_Rashid_Tarkabagish,77.0
Abdurrahman_Sharafkandi,Abdurrahman_Sharafkandi,339.0
Abdurrahman_Vazirov,Abdurrahman_Vazirov,1162.0
Abdurrahman_Wahid,Abdurrahman_Wahid,45272.0
Abdus_Samad_Azad,Abdus_Samad_Azad,1410.0
Abe_Fortas,Abe_Fortas,55671.0
Abe_Okpik,Abe_Okpik,2076.0
Abe_Ruef,Abe_Ruef,5408.0
Abeid_Karume,Abeid_Karume,4686.0
Abel_Alier,Abel_Alier,3257.0
Abel_Caballero,Abel_Caballero,28.0
Abel_Ferry,Abel_Ferry,535.0
Abel_Gardey,Abel_Gardey,404.0
Abel_Goumba,Abel_Goumba,3169.0
Abel_Ignacio_Cuevas_Melo,Abel_Ignacio_Cuevas_Melo,1.0
Abel_Maldonado,Abel_Maldonado,8697.0
Abel_Muzorewa,Abel_Muzorewa,33863.0
Abel_Pacheco,Abel_Pacheco,4687.0
Abelardo_Escobar_Prieto,Abelardo_Escobar_Prieto,692.0
Abelardo_L._Rodr%C3%ADguez,Abelardo_L._Rodríguez,10530.0
Abhisit_Vejjajiva,Abhisit_Vejjajiva,74364.0
Abid_Hamid_Mahmud,Abid_Hamid_Mahmud,8737.0
Abida_Hussain,Abida_Hussain,11.0
Abigail_Fillmore,Abigail_Fillmore,16863.0
Abner_J._Mikva,Abner_J._Mikva,19736.0
Abner_Taylor,Abner_Taylor,862.0
Abolhassan_Banisadr,Abolhassan_Banisadr,30775.0
Aboud_Jumbe,Aboud_Jumbe,758.0
Abraham_A._Ribicoff,Abraham_A._Ribicoff,19563.0
Abraham_Albert_Heaps,Abraham_Albert_Heaps,1817.0
Abraham_Berge,Abraham_Berge,2863.0
Abraham_Fischer,Abraham_Fischer,1693.0
Abraham_Hirschfeld,Abraham_Hirschfeld,2496.0
Abraham_K._Allison,Abraham_K._Allison,2703.0
Abraham_Kazen,Abraham_Kazen,2933.0
Abraham_Lincoln,Abraham_Lincoln,5330019.0
Abraham_Osheroff,Abraham_Osheroff,3193.0
Abraham_Ossei_Aidooh,Abraham_Ossei_Aidooh,828.0
Abrar-ul-Haq,Abrar-ul-Haq,29698.0
Abu_Ali_Mustafa,Abu_Ali_Mustafa,7267.0
Abu_Nidal,Abu_Nidal,65923.0
Abu_Sadat_Mohammad_Sayem,Abu_Sadat_Mohammad_Sayem,2866.0
Abu_Sayeed_Chowdhury,Abu_Sayeed_Chowdhury,2828.0
Abu_Seman_Yusop,Abu_Seman_Yusop,3.0
