name_u,views
Irene_Mathyssen,6241.0
Ivan_Tevosian,1361.0
Ivan_Todorov-Gorunia,1343.0
Ivan_Tovstukha,1511.0
Jacobus_Gideon_Nel_Strauss,2145.0
Jamaan_Al-Harbash,1343.0
James_B._Longley,8829.0
James_Carlisle,4823.0
James_Chan_Khay_Syn,2602.0
James_Henry_Dickey_Henderson,1064.0
James_J._Davis,13505.0
James_Withycombe,3160.0
Jang_Sung-taek,229450.0
Janusz_Lewandowski,5380.0
Jason_Rae,6822.0
Jean-Pierre_Michel,1818.0
Jedd_P._Ladd,609.0
Jeff_Angelo,2831.0
Jeff_Wilson_(politician),1957.0
Jennette_Bradley,5380.0
Jenny_Ellaug_Følling,721.0
Jeremiah_Henry_Murphy,2352.0
Jeremy_Cronin,12513.0
Jeroen_Dijsselbloem,43528.0
Jerrold_Nadler,53676.0
Jesse_Robredo,144758.0
Jethro_Mutti,790.0
Jock_Scott,5084.0
Joel_Brand,22255.0
John_A._Danaher,4926.0
John_A._Lee,5596.0
John_Andrew_Long,760.0
John_E._Manders,1307.0
John_Keegan_(politician),600.0
John_Leng_Sturrock,1077.0
John_McCourt,1472.0
John_Philpot_Curran,9167.0
John_Pope_(Kentucky),6583.0
John_Scott_Lidgett,4292.0
John_Tangi,734.0
John_W._Geary,18534.0
Jonathan_Cilley,5474.0
Jonathan_Morgan_(Welsh_politician),2673.0
Jose_Emmanuel_Carlos,1857.0
Joseph_Bruno,21824.0
José_Garriga_Picó,1374.0
José_Núñez_de_Cáceres,11430.0
Juan_Carlos_Varela,67336.0
K._B._S._Mani,1027.0
Kamal_Hassan_Ali,8406.0
Karanam_Balaram_Krishna_Murthy,10595.0
Katsuhito_Yokokume,892.0
Kaye_Darveniza,1401.0
Kazenambo_Kazenambo,2110.0
Kazimira_Prunskienė,6907.0
Kevin_J._Murphy_(politician),2559.0
Kevin_Sheekey,7204.0
Khalil_al-Wazir,25578.0
Kim_Craitor,4952.0
Knut_Severin_Jakobsen_Vik,609.0
Kofi_Abrefa_Busia,24262.0
Kolinda_Grabar-Kitarović,471634.0
Kushabhau_Thakre,8780.0
Lalit_Mohan_Suklabaidya,1504.0
Lambert_Ehrlich,1942.0
Lawali_Shuaibu,3039.0
Lee_Huan,5427.0
Leonel_Godoy_Rangel,3287.0
Leonid_Reiman,3123.0
Lesya_Orobets,2868.0
Li_Congjun,1226.0
Li_Jishen,6312.0
Li_Lanqing,5484.0
Lincoln_Alexander,31032.0
Linda_Burney,61738.0
Ling_How_Doong,5403.0
Lourie_Bosman,964.0
Lu_Bing,1898.0
Ludvig_Holstein-Ledreborg,4319.0
Luis_Arana,2893.0
Luis_Negreiros,1266.0
Luther_F._Cole,1584.0
Luís_de_Almeida_Braga,1108.0
M._K._Muneer,17650.0
M._M._Jacob,4953.0
Madeleine_Redfern,2235.0
Magnhild_Meltveit_Kleppa,3871.0
Magnus_Stangeland,788.0
Magomedsalam_Magomedov,6252.0
Manikrao_Hodlya_Gavit,4631.0
Manny_Pacquiao,2583380.0
Manuel_Bonilla,8336.0
Marc_Joulaud,685.0
Marek_Rocki,1168.0
Margaret_MacDonald_(social_reformer),2889.0
Margrét_Tryggvadóttir,1722.0
Marieluise_Beck,3098.0
Marietta_de_Pourbaix-Lundin,1109.0
Mark_Farrell_(politician),11704.0
Mark_Hlady,1704.0
Martin_Heydon,5464.0
Mary_Anne_Chambers,3388.0
Mary_M._McPhillips,921.0
María_Eugenia_Rojas_Correa,2589.0
Masao_Nakayama,1254.0
Matatumua_Maimoana,1816.0
Maxine_Horner,2143.0
Melvin_H._Evans,5119.0
Merera_Gudina,9773.0
Mette_Hanekamhaug,2154.0
Mian_Muhibullah_Kakakhel,1335.0
Michael_Ashikodi_Agbamuche,3109.0
Michael_Hart_(Australian_politician),2160.0
Michael_Sutherland,4310.0
Michael_Tetzschner,2003.0
Michal_Biran,4380.0
Michel_d'Ornano,2734.0
Michiel_Holtackers,1466.0
Michio_Yuzawa,1444.0
Mickey_Kantor,28655.0
Miguel_Antonio_Otero_(born_1859),7845.0
Miguel_Samper_Agudelo,1010.0
Mike_Freer,13366.0
Mikhail_Loris-Melikov,8462.0
