file,size
pagecounts-20100130-050000.gz,56.0
pagecounts-20100130-060000.gz,57.0
pagecounts-20100130-070000.gz,59.0
pagecounts-20100130-080000.gz,62.0
pagecounts-20100130-090001.gz,64.0
pagecounts-20100130-100000.gz,67.0
pagecounts-20100130-110000.gz,70.0
pagecounts-20100130-120000.gz,72.0
pagecounts-20100130-130000.gz,67.0
pagecounts-20100130-140000.gz,69.0
pagecounts-20100130-150000.gz,71.0
pagecounts-20100130-160000.gz,73.0
pagecounts-20100130-170000.gz,73.0
pagecounts-20100130-180000.gz,72.0
pagecounts-20100130-190001.gz,72.0
pagecounts-20100130-200000.gz,71.0
pagecounts-20100130-210000.gz,69.0
pagecounts-20100130-220000.gz,70.0
pagecounts-20100130-230000.gz,68.0
pagecounts-20100131-000000.gz,65.0
pagecounts-20100131-010000.gz,69.0
pagecounts-20100131-020000.gz,66.0
pagecounts-20100131-030000.gz,64.0
pagecounts-20100131-040000.gz,63.0
pagecounts-20100131-050000.gz,62.0
pagecounts-20100131-060001.gz,61.0
pagecounts-20100131-070000.gz,60.0
pagecounts-20100131-080000.gz,62.0
pagecounts-20100131-090000.gz,66.0
pagecounts-20100131-100000.gz,71.0
pagecounts-20100131-110000.gz,73.0
pagecounts-20100131-120000.gz,74.0
pagecounts-20100131-130000.gz,69.0
pagecounts-20100131-140000.gz,69.0
pagecounts-20100131-150001.gz,68.0
pagecounts-20100131-160000.gz,68.0
pagecounts-20100131-170000.gz,67.0
pagecounts-20100131-180000.gz,65.0
pagecounts-20100131-190000.gz,65.0
pagecounts-20100131-200000.gz,65.0
pagecounts-20100131-210000.gz,65.0
pagecounts-20100131-220000.gz,65.0
pagecounts-20100131-230000.gz,65.0
