ID,url_name
700729,"William_Amherst,_3rd_Earl_Amherst"
700750,Buel_Hutchinson
700755,Alejandro_Agag
700762,John_Weisenberger
700820,Angelo_Motta
700824,Mihai_Godea
70253,Trond_Hegna
700844,Ossiel_Niaves_López
700847,Luis_Fernando_Salazar_Fernández
700852,Jim_Gibbons_(U.S._politician)
700857,Mohammad_Omar_(Afghan_governor)
700897,Mohamed_Guessous
700899,Ingvarda_Røberg
700912,Adéodat_Compère-Morel
700952,Jesús_Martínez_Ross
700989,Karim_Camara
701008,Gustavo_Donis_García
70309,Thomas_Abraham
701048,George_Bryan_Porter
701064,Bashir_Jan
701100,Monica_Babuc
701109,Adriana_Vieyra_Olivares
701110,Yury_Zacharanka
701125,Kate_Young_(politician)
701127,Gail_Finney
701130,Sherry_Chen_(politician)
701146,Vangelis_Meimarakis
701158,Hilal_Hilal
70323,Myra_Freeman
701174,Zulfikar_Ali_Bhutto
701177,Tomasz_Łubieński
701202,Maajid_Nawaz
701229,Pierre_Waldeck-Rousseau
701235,Maurice_Freeman
701242,Lee_Hae-chan
701256,María_Martínez_Santillán
701266,Charles_Chong
701272,Saira_Afzal_Tarar
701279,Clement_Stachowiak
70329,Khalid_Maqbool_Siddiqui
701282,Angelos_Roufos
701313,Yang_Shangkun
701320,Alfredo_Vázquez_Carrizosa
701345,Hor_Namhong
701365,Henry_E._Hardtner
701372,Mehmet_Harmancı
701420,Mukhtar_Kul-Mukhammed
701451,Jacob_H._Bromwell
701476,Alfonso_López_Caballero
701493,Charlie_Rakotoariventiny
70332,Zhores_Alferov
701503,Hans_Reinowski
701513,Ted_Cruz
701519,Naraparaju_Ramchander_Rao
701529,Michael_Adam
701547,Harald_Sverre_Olsen
701557,Victoria_A._Dooling
701558,Daniel_Joseph_Ryan
701583,Moshe_Maya
701606,Virginia_Trotter
701622,Sean_Chen_(politician)
7173,Madhukar_Katre
70342,Oskar_Lindberget
701624,Anna_Ceselie_Brustad_Moe
701645,Lionel_Henry_Daiches
701701,William_Digby_(writer)
701729,Fernando_Remírez_de_Estenoz
701733,H._G._Tucker
701737,Vahe_Enfiajyan
701740,Bernard_Debré
701756,Bjarne_Aagaard_Strøm
701760,Adriana_Gjonaj
701764,Birgit_Breuel
70344,Raúl_Cervantes_Andrade
701768,John_M._Parker
701803,Carljörg_Lacherbauer
701814,Jeff_Waldstreicher
701821,Harivansh_Narayan_Singh
701843,Matthias_Yao
701855,Govind_Prajapati
701856,Ezequiel_Padilla_Peñaloza
701876,Gismalla_Abdalla_Rassas
701901,Baldomero_Falcone
701905,Moses_Blah
70351,John_Boyle_(congressman)
701961,Anténor_Firmin
701971,Eduardo_González
701990,Javier_Diez_Canseco
701994,Antal_Apró
702012,Aníbal_Ibarra
702021,Sonia_Rincón_Chanona
702028,"Richard_Bridgeman,_7th_Earl_of_Bradford"
